SOUND,VOICING,SEGMENT,SEGMENT3,SEGMENT2,STOP,SEGMENT4,STIMULUS,GENERAL_TYPE,PLACE,TYPE,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,SpaceBar.keys,SpaceBar.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,participant,Gender,Age,frameRate,OtherLanguages,NativeLanguage,expName,date,
,,,,,,,,,,,,,,,,,,,space,199.976690054,,,,,12,m,22,59.8179634843,none,American English,VSH_Exp2,2015_Jun_15_1705,
Recordings/fasu.wav,no,f,s,a,no,u,fasu,Training,bilabial,TrainingItems,0,0,0,92,,,,,,,,,,,12,m,22,59.8179634843,none,American English,VSH_Exp2,2015_Jun_15_1705,
Recordings/dabu.wav,yes,d,b,a,yes,u,dabu,Training,alveolar,TrainingItems,0,1,1,4,,,,,,,,,,,12,m,22,59.8179634843,none,American English,VSH_Exp2,2015_Jun_15_1705,
Recordings/budi.wav,yes,b,d,u,yes,i,budi,Training,bilabial,TrainingItems,0,2,2,61,,,,,,,,,,,12,m,22,59.8179634843,none,American English,VSH_Exp2,2015_Jun_15_1705,
Recordings/fufa.wav,no,f,f,u,no,a,fufa,Training,bilabial,TrainingItems,0,3,3,16,,,,,,,,,,,12,m,22,59.8179634843,none,American English,VSH_Exp2,2015_Jun_15_1705,
Recordings/ziza.wav,yes,z,z,i,no,a,ziza,Training,alveolar,TrainingItems,0,4,4,37,,,,,,,,,,,12,m,22,59.8179634843,none,American English,VSH_Exp2,2015_Jun_15_1705,
Recordings/fafa.wav,no,f,f,a,no,a,fafa,Training,bilabial,TrainingItems,0,5,5,5,,,,,,,,,,,12,m,22,59.8179634843,none,American English,VSH_Exp2,2015_Jun_15_1705,
Recordings/buda.wav,yes,b,d,u,yes,a,buda,Training,bilabial,TrainingItems,0,6,6,23,,,,,,,,,,,12,m,22,59.8179634843,none,American English,VSH_Exp2,2015_Jun_15_1705,
Recordings/bidu.wav,yes,b,d,i,yes,u,bidu,Training,bilabial,TrainingItems,0,7,7,74,,,,,,,,,,,12,m,22,59.8179634843,none,American English,VSH_Exp2,2015_Jun_15_1705,
Recordings/zizi.wav,yes,z,z,i,no,i,zizi,Training,alveolar,TrainingItems,0,8,8,79,,,,,,,,,,,12,m,22,59.8179634843,none,American English,VSH_Exp2,2015_Jun_15_1705,
