SOUND,VOICING,SEGMENT,SEGMENT3,SEGMENT2,STOP,SEGMENT4,STIMULUS,GENERAL_TYPE,PLACE,TYPE,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,SpaceBar.keys,SpaceBar.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,participant,Gender,Age,frameRate,OtherLanguages,NativeLanguage,expName,date,
,,,,,,,,,,,,,,,,,,,space,18.2216300964,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/daba.wav,yes,d,b,a,yes,a,daba,Training,alveolar,TrainingItems,0,0,0,15,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/bibu.wav,yes,b,b,i,yes,u,bibu,Training,bilabial,TrainingItems,0,1,1,28,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/buba.wav,yes,b,b,u,yes,a,buba,Training,bilabial,TrainingItems,0,2,2,16,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/dibi.wav,yes,d,b,i,yes,i,dibi,Training,alveolar,TrainingItems,0,3,3,25,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/viva.wav,yes,v,v,i,no,a,viva,Training,bilabial,TrainingItems,0,4,4,22,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/tatu.wav,no,t,t,a,yes,u,tatu,Training,alveolar,TrainingItems,0,5,5,24,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/pupi.wav,no,p,p,u,yes,i,pupi,Training,bilabial,TrainingItems,0,6,6,81,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/tupu.wav,no,t,p,u,yes,u,tupu,Training,alveolar,TrainingItems,0,7,7,23,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/didi.wav,yes,d,d,i,yes,i,didi,Training,alveolar,TrainingItems,0,8,8,31,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/zuza.wav,yes,z,z,u,no,a,zuza,Training,alveolar,TrainingItems,0,9,9,49,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/dibu.wav,yes,d,b,i,yes,u,dibu,Training,alveolar,TrainingItems,0,10,10,78,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/vivu.wav,yes,v,v,i,no,u,vivu,Training,bilabial,TrainingItems,0,11,11,61,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/fufa.wav,no,f,f,u,no,a,fufa,Training,bilabial,TrainingItems,0,12,12,66,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/bubi.wav,yes,b,b,u,yes,i,bubi,Training,bilabial,TrainingItems,0,13,13,3,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/vazu.wav,yes,v,z,a,no,u,vazu,Training,bilabial,TrainingItems,0,14,14,38,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/dubu.wav,yes,d,b,u,yes,u,dubu,Training,alveolar,TrainingItems,0,15,15,86,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/pita.wav,no,p,t,i,yes,a,pita,Training,bilabial,TrainingItems,0,16,16,8,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/pata.wav,no,p,t,a,yes,a,pata,Training,bilabial,TrainingItems,0,17,17,12,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/zuzi.wav,yes,z,z,u,no,i,zuzi,Training,alveolar,TrainingItems,0,18,18,37,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/tapu.wav,no,t,p,a,yes,u,tapu,Training,alveolar,TrainingItems,0,19,19,43,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/vaza.wav,yes,v,z,a,no,a,vaza,Training,bilabial,TrainingItems,0,20,20,98,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/budi.wav,yes,b,d,u,yes,i,budi,Training,bilabial,TrainingItems,0,21,21,75,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/sisi.wav,no,s,s,i,no,i,sisi,Training,alveolar,TrainingItems,0,22,22,97,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/zizu.wav,yes,z,z,i,no,u,zizu,Training,alveolar,TrainingItems,0,23,23,29,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/putu.wav,no,p,t,u,yes,u,putu,Training,bilabial,TrainingItems,0,24,24,94,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/bibi.wav,yes,b,b,i,yes,i,bibi,Training,bilabial,TrainingItems,0,25,25,57,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/tutu.wav,no,t,t,u,yes,u,tutu,Training,alveolar,TrainingItems,0,26,26,65,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/zazu.wav,yes,z,z,a,no,u,zazu,Training,alveolar,TrainingItems,0,27,27,26,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/fufu.wav,no,f,f,u,no,u,fufu,Training,bilabial,TrainingItems,0,28,28,35,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/tipi.wav,no,t,p,i,yes,i,tipi,Training,alveolar,TrainingItems,0,29,29,2,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/dabi.wav,yes,d,b,a,yes,i,dabi,Training,alveolar,TrainingItems,0,30,30,0,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/zava.wav,yes,z,v,a,no,a,zava,Training,alveolar,TrainingItems,0,31,31,41,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/sisa.wav,no,s,s,i,no,a,sisa,Training,alveolar,TrainingItems,0,32,32,55,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/zuzu.wav,yes,z,z,u,no,u,zuzu,Training,alveolar,TrainingItems,0,33,33,27,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/dudi.wav,yes,d,d,u,yes,i,dudi,Training,alveolar,TrainingItems,0,34,34,50,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/zizi.wav,yes,z,z,i,no,i,zizi,Training,alveolar,TrainingItems,0,35,35,80,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/zivu.wav,yes,z,v,i,no,u,zivu,Training,alveolar,TrainingItems,0,36,36,93,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/vuza.wav,yes,v,z,u,no,a,vuza,Training,bilabial,TrainingItems,0,37,37,90,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/bida.wav,yes,b,d,i,yes,a,bida,Training,bilabial,TrainingItems,0,38,38,47,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/fufi.wav,no,f,f,u,no,i,fufi,Training,bilabial,TrainingItems,0,39,39,44,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/titi.wav,no,t,t,i,yes,i,titi,Training,alveolar,TrainingItems,0,40,40,89,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/viza.wav,yes,v,z,i,no,a,viza,Training,bilabial,TrainingItems,0,41,41,60,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/duda.wav,yes,d,d,u,yes,a,duda,Training,alveolar,TrainingItems,0,42,42,62,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/fafa.wav,no,f,f,a,no,a,fafa,Training,bilabial,TrainingItems,0,43,43,92,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/duba.wav,yes,d,b,u,yes,a,duba,Training,alveolar,TrainingItems,0,44,44,30,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/fifi.wav,no,f,f,i,no,i,fifi,Training,bilabial,TrainingItems,0,45,45,79,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/badu.wav,yes,b,d,a,yes,u,badu,Training,bilabial,TrainingItems,0,46,46,7,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/zuvi.wav,yes,z,v,u,no,i,zuvi,Training,alveolar,TrainingItems,0,47,47,67,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/budu.wav,yes,b,d,u,yes,u,budu,Training,bilabial,TrainingItems,0,48,48,40,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/bada.wav,yes,b,d,a,yes,a,bada,Training,bilabial,TrainingItems,0,49,49,11,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/vuzu.wav,yes,v,z,u,no,u,vuzu,Training,bilabial,TrainingItems,0,50,50,71,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/papi.wav,no,p,p,a,yes,i,papi,Training,bilabial,TrainingItems,0,51,51,69,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/zaza.wav,yes,z,z,a,no,a,zaza,Training,alveolar,TrainingItems,0,52,52,83,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/fafu.wav,no,f,f,a,no,u,fafu,Training,bilabial,TrainingItems,0,53,53,19,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/babi.wav,yes,b,b,a,yes,i,babi,Training,bilabial,TrainingItems,0,54,54,13,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/badi.wav,yes,b,d,a,yes,i,badi,Training,bilabial,TrainingItems,0,55,55,34,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
Recordings/vavi.wav,yes,v,v,a,no,i,vavi,Training,bilabial,TrainingItems,0,56,56,96,,,,,,,,,,,26,F,26,59.873723279,chinese,American English,VSH_Exp2,2015_Sep_28_1519,
