SOUND,VOICING,SEGMENT,SEGMENT3,SEGMENT2,STOP,SEGMENT4,STIMULUS,GENERAL_TYPE,PLACE,TYPE,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,SpaceBar.keys,SpaceBar.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,participant,Gender,Age,frameRate,OtherLanguages,NativeLanguage,expName,date,
,,,,,,,,,,,,,,,,,,,space,1.56867694855,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/papi.wav,no,p,p,a,yes,i,papi,Training,bilabial,TrainingItems,0,0,0,64,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/tupi.wav,no,t,p,u,yes,i,tupi,Training,alveolar,TrainingItems,0,1,1,7,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/sufi.wav,no,s,f,u,no,i,sufi,Training,alveolar,TrainingItems,0,2,2,19,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/vivi.wav,yes,v,v,i,no,i,vivi,Training,bilabial,TrainingItems,0,3,3,27,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/tupu.wav,no,t,p,u,yes,u,tupu,Training,alveolar,TrainingItems,0,4,4,89,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/dudu.wav,yes,d,d,u,yes,u,dudu,Training,alveolar,TrainingItems,0,5,5,84,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/fufu.wav,no,f,f,u,no,u,fufu,Training,bilabial,TrainingItems,0,6,6,42,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/papa.wav,no,p,p,a,yes,a,papa,Training,bilabial,TrainingItems,0,7,7,65,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/ziza.wav,yes,z,z,i,no,a,ziza,Training,alveolar,TrainingItems,0,8,8,79,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/dida.wav,yes,d,d,i,yes,a,dida,Training,alveolar,TrainingItems,0,9,9,12,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/diba.wav,yes,d,b,i,yes,a,diba,Training,alveolar,TrainingItems,0,10,10,87,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/fisu.wav,no,f,s,i,no,u,fisu,Training,bilabial,TrainingItems,0,11,11,2,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/tupa.wav,no,t,p,u,yes,a,tupa,Training,alveolar,TrainingItems,0,12,12,24,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/vava.wav,yes,v,v,a,no,a,vava,Training,bilabial,TrainingItems,0,13,13,38,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/fasu.wav,no,f,s,a,no,u,fasu,Training,bilabial,TrainingItems,0,14,14,68,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/zizu.wav,yes,z,z,i,no,u,zizu,Training,alveolar,TrainingItems,0,15,15,46,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/fifu.wav,no,f,f,i,no,u,fifu,Training,bilabial,TrainingItems,0,16,16,37,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/fusa.wav,no,f,s,u,no,a,fusa,Training,bilabial,TrainingItems,0,17,17,45,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/pupi.wav,no,p,p,u,yes,i,pupi,Training,bilabial,TrainingItems,0,18,18,83,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/safi.wav,no,s,f,a,no,i,safi,Training,alveolar,TrainingItems,0,19,19,23,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/sasa.wav,no,s,s,a,no,a,sasa,Training,alveolar,TrainingItems,0,20,20,18,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/pita.wav,no,p,t,i,yes,a,pita,Training,bilabial,TrainingItems,0,21,21,51,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
Recordings/tapi.wav,no,t,p,a,yes,i,tapi,Training,alveolar,TrainingItems,0,22,22,35,,,,,,,,,,,79,F,18,59.9739759836,"Polish, French",American English,VSH_Exp2,2015_Nov_18_1716,
