SOUND,VOICING,SEGMENT,SEGMENT3,SEGMENT2,STOP,SEGMENT4,STIMULUS,GENERAL_TYPE,PLACE,TYPE,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,SpaceBar.keys,SpaceBar.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,participant,Gender,Age,frameRate,OtherLanguages,NativeLanguage,expName,date,
,,,,,,,,,,,,,,,,,,,space,12.5720710754,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/fifu.wav,no,f,f,i,no,u,fifu,Training,bilabial,TrainingItems,0,0,0,2,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/didu.wav,yes,d,d,i,yes,u,didu,Training,alveolar,TrainingItems,0,1,1,10,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/fusi.wav,no,f,s,u,no,i,fusi,Training,bilabial,TrainingItems,0,2,2,39,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/bida.wav,yes,b,d,i,yes,a,bida,Training,bilabial,TrainingItems,0,3,3,57,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/susi.wav,no,s,s,u,no,i,susi,Training,alveolar,TrainingItems,0,4,4,74,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/bidu.wav,yes,b,d,i,yes,u,bidu,Training,bilabial,TrainingItems,0,5,5,49,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/biba.wav,yes,b,b,i,yes,a,biba,Training,bilabial,TrainingItems,0,6,6,44,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/bidi.wav,yes,b,d,i,yes,i,bidi,Training,bilabial,TrainingItems,0,7,7,9,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/tata.wav,no,t,t,a,yes,a,tata,Training,alveolar,TrainingItems,0,8,8,36,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/bubu.wav,yes,b,b,u,yes,u,bubu,Training,bilabial,TrainingItems,0,9,9,28,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/fifi.wav,no,f,f,i,no,i,fifi,Training,bilabial,TrainingItems,0,10,10,25,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/buda.wav,yes,b,d,u,yes,a,buda,Training,bilabial,TrainingItems,0,11,11,14,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/safi.wav,no,s,f,a,no,i,safi,Training,alveolar,TrainingItems,0,12,12,55,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/fasi.wav,no,f,s,a,no,i,fasi,Training,bilabial,TrainingItems,0,13,13,82,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/sufu.wav,no,s,f,u,no,u,sufu,Training,alveolar,TrainingItems,0,14,14,68,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/vavi.wav,yes,v,v,a,no,i,vavi,Training,bilabial,TrainingItems,0,15,15,98,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/papa.wav,no,p,p,a,yes,a,papa,Training,bilabial,TrainingItems,0,16,16,87,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/fasu.wav,no,f,s,a,no,u,fasu,Training,bilabial,TrainingItems,0,17,17,8,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/sasa.wav,no,s,s,a,no,a,sasa,Training,alveolar,TrainingItems,0,18,18,84,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/tutu.wav,no,t,t,u,yes,u,tutu,Training,alveolar,TrainingItems,0,19,19,77,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/diba.wav,yes,d,b,i,yes,a,diba,Training,alveolar,TrainingItems,0,20,20,17,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/pupa.wav,no,p,p,u,yes,a,pupa,Training,bilabial,TrainingItems,0,21,21,23,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/vuzi.wav,yes,v,z,u,no,i,vuzi,Training,bilabial,TrainingItems,0,22,22,69,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/vuva.wav,yes,v,v,u,no,a,vuva,Training,bilabial,TrainingItems,0,23,23,33,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/ziva.wav,yes,z,v,i,no,a,ziva,Training,alveolar,TrainingItems,0,24,24,11,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/papu.wav,no,p,p,a,yes,u,papu,Training,bilabial,TrainingItems,0,25,25,20,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/vivi.wav,yes,v,v,i,no,i,vivi,Training,bilabial,TrainingItems,0,26,26,67,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/safa.wav,no,s,f,a,no,a,safa,Training,alveolar,TrainingItems,0,27,27,41,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/safu.wav,no,s,f,a,no,u,safu,Training,alveolar,TrainingItems,0,28,28,37,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/dibi.wav,yes,d,b,i,yes,i,dibi,Training,alveolar,TrainingItems,0,29,29,46,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/babi.wav,yes,b,b,a,yes,i,babi,Training,bilabial,TrainingItems,0,30,30,88,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/ziza.wav,yes,z,z,i,no,a,ziza,Training,alveolar,TrainingItems,0,31,31,15,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/tita.wav,no,t,t,i,yes,a,tita,Training,alveolar,TrainingItems,0,32,32,65,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/pipu.wav,no,p,p,i,yes,u,pipu,Training,bilabial,TrainingItems,0,33,33,31,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/papi.wav,no,p,p,a,yes,i,papi,Training,bilabial,TrainingItems,0,34,34,50,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/dudu.wav,yes,d,d,u,yes,u,dudu,Training,alveolar,TrainingItems,0,35,35,61,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
Recordings/fafu.wav,no,f,f,a,no,u,fafu,Training,bilabial,TrainingItems,0,36,36,93,,,,,,,,,,,8,M,22,59.8275198056,,American English,VSH_Exp2,2015_Mar_26_1755,
