"SOUND","VOICING","SEGMENT","SEGMENT3","SEGMENT2","STOP","SEGMENT4","STIMULUS","GENERAL_TYPE","PLACE","TYPE","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","SpaceBar.keys","SpaceBar.rt","key_resp_2.keys","key_resp_2.rt","rating.response","rating.rt","participant","Gender","Age","frameRate","OtherLanguages","NativeLanguage","expName","date","X34"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"space",2.23602676392,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/vazu.wav","yes","v","z","a","no","u","vazu","Training","bilabial","TrainingItems",0,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/vizi.wav","yes","v","z","i","no","i","vizi","Training","bilabial","TrainingItems",0,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/tata.wav","no","t","t","a","yes","a","tata","Training","alveolar","TrainingItems",0,2,2,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/dudu.wav","yes","d","d","u","yes","u","dudu","Training","alveolar","TrainingItems",0,3,3,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/fusu.wav","no","f","s","u","no","u","fusu","Training","bilabial","TrainingItems",0,4,4,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/puti.wav","no","p","t","u","yes","i","puti","Training","bilabial","TrainingItems",0,5,5,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/zivi.wav","yes","z","v","i","no","i","zivi","Training","alveolar","TrainingItems",0,6,6,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/dadi.wav","yes","d","d","a","yes","i","dadi","Training","alveolar","TrainingItems",0,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/pupa.wav","no","p","p","u","yes","a","pupa","Training","bilabial","TrainingItems",0,8,8,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
