"SOUND","VOICING","SEGMENT","SEGMENT3","SEGMENT2","STOP","SEGMENT4","STIMULUS","GENERAL_TYPE","PLACE","TYPE","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","SpaceBar.keys","SpaceBar.rt","key_resp_2.keys","key_resp_2.rt","rating.response","rating.rt","participant","Gender","Age","frameRate","OtherLanguages","NativeLanguage","expName","date","X34"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"space",3.87163186073,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/diba.wav","yes","d","b","i","yes","a","diba","Training","alveolar","TrainingItems",0,0,0,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/vivu.wav","yes","v","v","i","no","u","vivu","Training","bilabial","TrainingItems",0,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/patu.wav","no","p","t","a","yes","u","patu","Training","bilabial","TrainingItems",0,2,2,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/puta.wav","no","p","t","u","yes","a","puta","Training","bilabial","TrainingItems",0,3,3,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/dada.wav","yes","d","d","a","yes","a","dada","Training","alveolar","TrainingItems",0,4,4,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/vava.wav","yes","v","v","a","no","a","vava","Training","bilabial","TrainingItems",0,5,5,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/tatu.wav","no","t","t","a","yes","u","tatu","Training","alveolar","TrainingItems",0,6,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/tipi.wav","no","t","p","i","yes","i","tipi","Training","alveolar","TrainingItems",0,7,7,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/vivi.wav","yes","v","v","i","no","i","vivi","Training","bilabial","TrainingItems",0,8,8,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/tupi.wav","no","t","p","u","yes","i","tupi","Training","alveolar","TrainingItems",0,9,9,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/vavu.wav","yes","v","v","a","no","u","vavu","Training","bilabial","TrainingItems",0,10,10,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/bubu.wav","yes","b","b","u","yes","u","bubu","Training","bilabial","TrainingItems",0,11,11,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/dabi.wav","yes","d","b","a","yes","i","dabi","Training","alveolar","TrainingItems",0,12,12,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/bubi.wav","yes","b","b","u","yes","i","bubi","Training","bilabial","TrainingItems",0,13,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/ziza.wav","yes","z","z","i","no","a","ziza","Training","alveolar","TrainingItems",0,14,14,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
