"SEGMENT","VOICING","STOP","PLACE","SEGMENT2","SEGMENT3","SEGMENT4","STIMULUS"
"b","yes","yes","bilabial","u","f","u","bufu"
"b","yes","yes","bilabial","u","s","i","busi"
"b","yes","yes","bilabial","u","f","i","bufi"
"b","yes","yes","bilabial","i","f","u","bifu"
"b","yes","yes","bilabial","a","s","i","basi"
"b","yes","yes","bilabial","a","f","i","bafi"
"b","yes","yes","bilabial","u","s","u","busu"
"b","yes","yes","bilabial","i","s","u","bisu"
"b","yes","yes","bilabial","i","f","i","bifi"
"b","yes","yes","bilabial","a","s","u","basu"
"b","yes","yes","bilabial","a","f","a","bafa"
"b","yes","yes","bilabial","u","s","a","busa"
"b","yes","yes","bilabial","i","s","i","bisi"
"b","yes","yes","bilabial","i","f","a","bifa"
"b","yes","yes","bilabial","a","f","u","bafu"
"b","yes","yes","bilabial","i","s","a","bisa"
"b","yes","yes","bilabial","a","s","a","basa"
"b","yes","yes","bilabial","u","f","a","bufa"
"d","yes","yes","alveolar","i","f","u","difu"
"d","yes","yes","alveolar","i","s","u","disu"
"d","yes","yes","alveolar","i","f","i","difi"
"d","yes","yes","alveolar","u","s","i","dusi"
"d","yes","yes","alveolar","a","f","a","dafa"
"d","yes","yes","alveolar","u","f","u","dufu"
"d","yes","yes","alveolar","i","s","i","disi"
"d","yes","yes","alveolar","a","f","i","dafi"
"d","yes","yes","alveolar","a","f","u","dafu"
"d","yes","yes","alveolar","u","f","i","dufi"
"d","yes","yes","alveolar","u","s","a","dusa"
"d","yes","yes","alveolar","a","s","i","dasi"
"d","yes","yes","alveolar","a","s","a","dasa"
"d","yes","yes","alveolar","u","s","u","dusu"
"d","yes","yes","alveolar","i","s","a","disa"
"d","yes","yes","alveolar","a","s","u","dasu"
"d","yes","yes","alveolar","u","f","a","dufa"
"d","yes","yes","alveolar","i","f","a","difa"
"f","no","no","bilabial","a","d","i","fadi"
"f","no","no","bilabial","u","d","i","fudi"
"f","no","no","bilabial","i","b","u","fibu"
"f","no","no","bilabial","a","b","i","fabi"
"f","no","no","bilabial","u","b","u","fubu"
"f","no","no","bilabial","i","b","i","fibi"
"f","no","no","bilabial","i","b","a","fiba"
"f","no","no","bilabial","u","b","i","fubi"
"f","no","no","bilabial","u","d","a","fuda"
"f","no","no","bilabial","i","d","u","fidu"
"f","no","no","bilabial","i","d","a","fida"
"f","no","no","bilabial","a","b","a","faba"
"f","no","no","bilabial","u","d","u","fudu"
"f","no","no","bilabial","i","d","i","fidi"
"f","no","no","bilabial","u","b","a","fuba"
"f","no","no","bilabial","a","d","a","fada"
"f","no","no","bilabial","a","b","u","fabu"
"f","no","no","bilabial","a","d","u","fadu"
"p","no","yes","bilabial","u","z","u","puzu"
"p","no","yes","bilabial","i","z","i","pizi"
"p","no","yes","bilabial","i","v","u","pivu"
"p","no","yes","bilabial","a","z","u","pazu"
"p","no","yes","bilabial","u","z","i","puzi"
"p","no","yes","bilabial","u","v","u","puvu"
"p","no","yes","bilabial","i","v","i","pivi"
"p","no","yes","bilabial","a","z","i","pazi"
"p","no","yes","bilabial","a","v","u","pavu"
"p","no","yes","bilabial","u","v","i","puvi"
"p","no","yes","bilabial","i","z","u","pizu"
"p","no","yes","bilabial","i","v","a","piva"
"p","no","yes","bilabial","a","v","i","pavi"
"p","no","yes","bilabial","a","v","a","pava"
"p","no","yes","bilabial","u","v","a","puva"
"p","no","yes","bilabial","i","z","a","piza"
"p","no","yes","bilabial","a","z","a","paza"
"p","no","yes","bilabial","u","z","a","puza"
"s","no","no","alveolar","u","d","i","sudi"
"s","no","no","alveolar","i","b","i","sibi"
"s","no","no","alveolar","a","b","i","sabi"
"s","no","no","alveolar","i","d","u","sidu"
"s","no","no","alveolar","a","d","i","sadi"
"s","no","no","alveolar","a","b","a","saba"
"s","no","no","alveolar","u","b","i","subi"
"s","no","no","alveolar","i","d","i","sidi"
"s","no","no","alveolar","i","b","u","sibu"
"s","no","no","alveolar","a","d","a","sada"
"s","no","no","alveolar","a","b","u","sabu"
"s","no","no","alveolar","u","b","u","subu"
"s","no","no","alveolar","i","d","a","sida"
"s","no","no","alveolar","i","b","a","siba"
"s","no","no","alveolar","a","d","u","sadu"
"s","no","no","alveolar","u","d","a","suda"
"s","no","no","alveolar","u","b","a","suba"
"s","no","no","alveolar","u","d","u","sudu"
"t","no","yes","alveolar","u","z","u","tuzu"
"t","no","yes","alveolar","i","v","u","tivu"
"t","no","yes","alveolar","u","z","i","tuzi"
"t","no","yes","alveolar","i","v","i","tivi"
"t","no","yes","alveolar","a","v","u","tavu"
"t","no","yes","alveolar","i","z","u","tizu"
"t","no","yes","alveolar","a","v","i","tavi"
"t","no","yes","alveolar","a","v","a","tava"
"t","no","yes","alveolar","i","z","i","tizi"
"t","no","yes","alveolar","i","z","a","tiza"
"t","no","yes","alveolar","a","z","u","tazu"
"t","no","yes","alveolar","a","z","a","taza"
"t","no","yes","alveolar","u","v","u","tuvu"
"t","no","yes","alveolar","u","v","a","tuva"
"t","no","yes","alveolar","a","z","i","tazi"
"t","no","yes","alveolar","u","v","i","tuvi"
"t","no","yes","alveolar","u","z","a","tuza"
"t","no","yes","alveolar","i","v","a","tiva"
"v","yes","no","bilabial","a","t","i","vati"
"v","yes","no","bilabial","u","p","i","vupi"
"v","yes","no","bilabial","u","t","a","vuta"
"v","yes","no","bilabial","i","p","a","vipa"
"v","yes","no","bilabial","u","t","i","vuti"
"v","yes","no","bilabial","u","t","u","vutu"
"v","yes","no","bilabial","i","p","i","vipi"
"v","yes","no","bilabial","i","p","u","vipu"
"v","yes","no","bilabial","a","p","i","vapi"
"v","yes","no","bilabial","a","p","a","vapa"
"v","yes","no","bilabial","i","t","i","viti"
"v","yes","no","bilabial","i","t","a","vita"
"v","yes","no","bilabial","a","p","u","vapu"
"v","yes","no","bilabial","i","t","u","vitu"
"v","yes","no","bilabial","a","t","a","vata"
"v","yes","no","bilabial","u","p","a","vupa"
"v","yes","no","bilabial","a","t","u","vatu"
"v","yes","no","bilabial","u","p","u","vupu"
"z","yes","no","alveolar","u","p","i","zupi"
"z","yes","no","alveolar","i","p","i","zipi"
"z","yes","no","alveolar","a","p","i","zapi"
"z","yes","no","alveolar","u","t","i","zuti"
"z","yes","no","alveolar","i","t","i","ziti"
"z","yes","no","alveolar","i","t","a","zita"
"z","yes","no","alveolar","a","t","i","zati"
"z","yes","no","alveolar","a","p","u","zapu"
"z","yes","no","alveolar","u","t","a","zuta"
"z","yes","no","alveolar","i","t","u","zitu"
"z","yes","no","alveolar","i","p","a","zipa"
"z","yes","no","alveolar","a","t","a","zata"
"z","yes","no","alveolar","u","t","u","zutu"
"z","yes","no","alveolar","u","p","a","zupa"
"z","yes","no","alveolar","i","p","u","zipu"
"z","yes","no","alveolar","a","t","u","zatu"
"z","yes","no","alveolar","a","p","a","zapa"
"z","yes","no","alveolar","u","p","u","zupu"
