"SEGMENT","VOICING","STOP","PLACE","SEGMENT2","SEGMENT3","SEGMENT4","STIMULUS"
"b","yes","yes","bilabial","u","d","a","buda"
"b","yes","yes","bilabial","u","b","a","buba"
"b","yes","yes","bilabial","u","b","i","bubi"
"b","yes","yes","bilabial","u","b","u","bubu"
"b","yes","yes","bilabial","a","b","a","baba"
"b","yes","yes","bilabial","a","b","i","babi"
"b","yes","yes","bilabial","a","b","u","babu"
"b","yes","yes","bilabial","a","d","a","bada"
"b","yes","yes","bilabial","a","d","i","badi"
"b","yes","yes","bilabial","a","d","u","badu"
"b","yes","yes","bilabial","a","p","a","bapa"
"b","yes","yes","bilabial","a","p","i","bapi"
"b","yes","yes","bilabial","a","p","u","bapu"
"b","yes","yes","bilabial","a","t","a","bata"
"b","yes","yes","bilabial","a","t","i","bati"
"b","yes","yes","bilabial","a","t","u","batu"
"b","yes","yes","bilabial","i","b","a","biba"
"b","yes","yes","bilabial","i","b","i","bibi"
"b","yes","yes","bilabial","i","b","u","bibu"
"b","yes","yes","bilabial","i","d","a","bida"
"b","yes","yes","bilabial","i","d","i","bidi"
"b","yes","yes","bilabial","i","d","u","bidu"
"b","yes","yes","bilabial","i","p","a","bipa"
"b","yes","yes","bilabial","i","p","i","bipi"
"b","yes","yes","bilabial","i","p","u","bipu"
"b","yes","yes","bilabial","i","t","a","bita"
"b","yes","yes","bilabial","i","t","i","biti"
"b","yes","yes","bilabial","i","t","u","bitu"
"b","yes","yes","bilabial","u","d","i","budi"
"b","yes","yes","bilabial","u","d","u","budu"
"b","yes","yes","bilabial","u","p","a","bupa"
"b","yes","yes","bilabial","u","p","i","bupi"
"b","yes","yes","bilabial","u","p","u","bupu"
"b","yes","yes","bilabial","u","t","a","buta"
"b","yes","yes","bilabial","u","t","i","buti"
"b","yes","yes","bilabial","u","t","u","butu"
"d","yes","yes","alveolar","i","d","i","didi"
"d","yes","yes","alveolar","i","p","u","dipu"
"d","yes","yes","alveolar","i","d","u","didu"
"d","yes","yes","alveolar","i","p","a","dipa"
"d","yes","yes","alveolar","u","d","i","dudi"
"d","yes","yes","alveolar","i","t","a","dita"
"d","yes","yes","alveolar","i","t","i","diti"
"d","yes","yes","alveolar","i","p","i","dipi"
"d","yes","yes","alveolar","u","p","u","dupu"
"d","yes","yes","alveolar","u","d","u","dudu"
"d","yes","yes","alveolar","u","p","a","dupa"
"d","yes","yes","alveolar","u","p","i","dupi"
"d","yes","yes","alveolar","i","t","u","ditu"
"d","yes","yes","alveolar","u","t","a","duta"
"d","yes","yes","alveolar","u","t","i","duti"
"d","yes","yes","alveolar","u","t","u","dutu"
"d","yes","yes","alveolar","a","b","a","daba"
"d","yes","yes","alveolar","a","b","i","dabi"
"d","yes","yes","alveolar","a","b","u","dabu"
"d","yes","yes","alveolar","a","d","a","dada"
"d","yes","yes","alveolar","a","d","i","dadi"
"d","yes","yes","alveolar","a","d","u","dadu"
"d","yes","yes","alveolar","a","p","a","dapa"
"d","yes","yes","alveolar","a","p","i","dapi"
"d","yes","yes","alveolar","a","p","u","dapu"
"d","yes","yes","alveolar","a","t","a","data"
"d","yes","yes","alveolar","a","t","i","dati"
"d","yes","yes","alveolar","a","t","u","datu"
"d","yes","yes","alveolar","i","b","a","diba"
"d","yes","yes","alveolar","i","b","i","dibi"
"d","yes","yes","alveolar","i","b","u","dibu"
"d","yes","yes","alveolar","i","d","a","dida"
"d","yes","yes","alveolar","u","b","a","duba"
"d","yes","yes","alveolar","u","b","i","dubi"
"d","yes","yes","alveolar","u","b","u","dubu"
"d","yes","yes","alveolar","u","d","a","duda"
"f","no","no","bilabial","u","v","u","fuvu"
"f","no","no","bilabial","u","z","a","fuza"
"f","no","no","bilabial","u","z","i","fuzi"
"f","no","no","bilabial","u","z","u","fuzu"
"f","no","no","bilabial","a","s","i","fasi"
"f","no","no","bilabial","a","s","u","fasu"
"f","no","no","bilabial","a","v","a","fava"
"f","no","no","bilabial","a","v","i","favi"
"f","no","no","bilabial","a","v","u","favu"
"f","no","no","bilabial","a","z","a","faza"
"f","no","no","bilabial","a","z","i","fazi"
"f","no","no","bilabial","a","z","u","fazu"
"f","no","no","bilabial","i","f","a","fifa"
