"SEGMENT","VOICING","STOP","PLACE","SEGMENT2","SEGMENT3","SEGMENT4","STIMULUS"
"b","yes","yes","bilabial","u","d","a","buda"
"b","yes","yes","bilabial","u","b","a","buba"
"b","yes","yes","bilabial","u","b","i","bubi"
"b","yes","yes","bilabial","u","b","u","bubu"
"b","yes","yes","bilabial","a","b","a","baba"
"b","yes","yes","bilabial","a","b","i","babi"
"b","yes","yes","bilabial","a","b","u","babu"
"b","yes","yes","bilabial","a","d","a","bada"
"b","yes","yes","bilabial","a","d","i","badi"
"b","yes","yes","bilabial","a","d","u","badu"
"b","yes","yes","bilabial","a","v","a","bava"
"b","yes","yes","bilabial","a","v","i","bavi"
"b","yes","yes","bilabial","a","v","u","bavu"
"b","yes","yes","bilabial","a","z","a","baza"
"b","yes","yes","bilabial","a","z","i","bazi"
"b","yes","yes","bilabial","a","z","u","bazu"
"b","yes","yes","bilabial","i","b","a","biba"
"b","yes","yes","bilabial","i","b","i","bibi"
"b","yes","yes","bilabial","i","b","u","bibu"
"b","yes","yes","bilabial","i","d","a","bida"
"b","yes","yes","bilabial","i","d","i","bidi"
"b","yes","yes","bilabial","i","d","u","bidu"
"b","yes","yes","bilabial","i","v","a","biva"
"b","yes","yes","bilabial","i","v","i","bivi"
"b","yes","yes","bilabial","i","v","u","bivu"
"b","yes","yes","bilabial","i","z","a","biza"
"b","yes","yes","bilabial","i","z","i","bizi"
"b","yes","yes","bilabial","i","z","u","bizu"
"b","yes","yes","bilabial","u","d","i","budi"
"b","yes","yes","bilabial","u","d","u","budu"
"b","yes","yes","bilabial","u","v","a","buva"
"b","yes","yes","bilabial","u","v","i","buvi"
"b","yes","yes","bilabial","u","v","u","buvu"
"b","yes","yes","bilabial","u","z","a","buza"
"b","yes","yes","bilabial","u","z","i","buzi"
"b","yes","yes","bilabial","u","z","u","buzu"
"d","yes","yes","alveolar","i","d","i","didi"
"d","yes","yes","alveolar","i","v","u","divu"
"d","yes","yes","alveolar","i","d","u","didu"
"d","yes","yes","alveolar","i","v","a","diva"
"d","yes","yes","alveolar","u","d","i","dudi"
"d","yes","yes","alveolar","i","z","a","diza"
"d","yes","yes","alveolar","i","z","i","dizi"
"d","yes","yes","alveolar","i","v","i","divi"
"d","yes","yes","alveolar","u","v","u","duvu"
"d","yes","yes","alveolar","u","d","u","dudu"
"d","yes","yes","alveolar","u","v","a","duva"
"d","yes","yes","alveolar","u","v","i","duvi"
"d","yes","yes","alveolar","i","z","u","dizu"
"d","yes","yes","alveolar","u","z","a","duza"
"d","yes","yes","alveolar","u","z","i","duzi"
"d","yes","yes","alveolar","u","z","u","duzu"
"d","yes","yes","alveolar","a","b","a","daba"
"d","yes","yes","alveolar","a","b","i","dabi"
"d","yes","yes","alveolar","a","b","u","dabu"
"d","yes","yes","alveolar","a","d","a","dada"
"d","yes","yes","alveolar","a","d","i","dadi"
"d","yes","yes","alveolar","a","d","u","dadu"
"d","yes","yes","alveolar","a","v","a","dava"
"d","yes","yes","alveolar","a","v","i","davi"
"d","yes","yes","alveolar","a","v","u","davu"
"d","yes","yes","alveolar","a","z","a","daza"
"d","yes","yes","alveolar","a","z","i","dazi"
"d","yes","yes","alveolar","a","z","u","dazu"
"d","yes","yes","alveolar","i","b","a","diba"
"d","yes","yes","alveolar","i","b","i","dibi"
"d","yes","yes","alveolar","i","b","u","dibu"
"d","yes","yes","alveolar","i","d","a","dida"
"d","yes","yes","alveolar","u","b","a","duba"
"d","yes","yes","alveolar","u","b","i","dubi"
"d","yes","yes","alveolar","u","b","u","dubu"
"d","yes","yes","alveolar","u","d","a","duda"
"f","no","no","bilabial","u","s","u","fusu"
"f","no","no","bilabial","u","t","a","futa"
"f","no","no","bilabial","u","t","i","futi"
"f","no","no","bilabial","u","t","u","futu"
"f","no","no","bilabial","a","p","i","fapi"
"f","no","no","bilabial","a","p","u","fapu"
"f","no","no","bilabial","a","s","a","fasa"
"f","no","no","bilabial","a","s","i","fasi"
"f","no","no","bilabial","a","s","u","fasu"
"f","no","no","bilabial","a","t","a","fata"
"f","no","no","bilabial","a","t","i","fati"
"f","no","no","bilabial","a","t","u","fatu"
"f","no","no","bilabial","i","f","a","fifa"
