"SEGMENT","VOICING","STOP","PLACE","SEGMENT2","SEGMENT3","SEGMENT4","STIMULUS"
"b","yes","yes","bilabial","a","b","a","baba"
"b","yes","yes","bilabial","i","b","a","biba"
"b","yes","yes","bilabial","i","b","i","bibi"
"b","yes","yes","bilabial","i","b","u","bibu"
"b","yes","yes","bilabial","i","d","a","bida"
"b","yes","yes","bilabial","i","d","i","bidi"
"b","yes","yes","bilabial","i","d","u","bidu"
"b","yes","yes","bilabial","u","b","a","buba"
"b","yes","yes","bilabial","u","b","i","bubi"
"b","yes","yes","bilabial","a","b","i","babi"
"b","yes","yes","bilabial","a","b","u","babu"
"b","yes","yes","bilabial","a","d","a","bada"
"b","yes","yes","bilabial","a","d","i","badi"
"b","yes","yes","bilabial","a","d","u","badu"
"b","yes","yes","bilabial","u","d","u","budu"
"b","yes","yes","bilabial","u","b","u","bubu"
"b","yes","yes","bilabial","u","d","a","buda"
"b","yes","yes","bilabial","u","d","i","budi"
"d","yes","yes","alveolar","u","d","a","duda"
"d","yes","yes","alveolar","u","d","i","dudi"
"d","yes","yes","alveolar","u","d","u","dudu"
"d","yes","yes","alveolar","u","b","u","dubu"
"d","yes","yes","alveolar","a","b","i","dabi"
"d","yes","yes","alveolar","a","b","u","dabu"
"d","yes","yes","alveolar","a","d","a","dada"
"d","yes","yes","alveolar","a","d","i","dadi"
"d","yes","yes","alveolar","a","b","a","daba"
"d","yes","yes","alveolar","a","d","u","dadu"
"d","yes","yes","alveolar","i","b","a","diba"
"d","yes","yes","alveolar","i","b","i","dibi"
"d","yes","yes","alveolar","i","b","u","dibu"
"d","yes","yes","alveolar","i","d","a","dida"
"d","yes","yes","alveolar","i","d","i","didi"
"d","yes","yes","alveolar","i","d","u","didu"
"d","yes","yes","alveolar","u","b","a","duba"
"d","yes","yes","alveolar","u","b","i","dubi"
"f","no","no","bilabial","i","s","a","fisa"
"f","no","no","bilabial","i","s","i","fisi"
"f","no","no","bilabial","i","s","u","fisu"
"f","no","no","bilabial","u","f","a","fufa"
"f","no","no","bilabial","a","f","a","fafa"
"f","no","no","bilabial","a","f","i","fafi"
"f","no","no","bilabial","a","f","u","fafu"
"f","no","no","bilabial","a","s","a","fasa"
"f","no","no","bilabial","a","s","i","fasi"
"f","no","no","bilabial","u","f","i","fufi"
"f","no","no","bilabial","u","f","u","fufu"
"f","no","no","bilabial","u","s","a","fusa"
"f","no","no","bilabial","u","s","i","fusi"
"f","no","no","bilabial","u","s","u","fusu"
"f","no","no","bilabial","a","s","u","fasu"
"f","no","no","bilabial","i","f","a","fifa"
"f","no","no","bilabial","i","f","i","fifi"
"f","no","no","bilabial","i","f","u","fifu"
"p","no","yes","bilabial","u","p","a","pupa"
"p","no","yes","bilabial","a","p","a","papa"
"p","no","yes","bilabial","a","p","i","papi"
"p","no","yes","bilabial","a","p","u","papu"
"p","no","yes","bilabial","a","t","a","pata"
"p","no","yes","bilabial","a","t","i","pati"
"p","no","yes","bilabial","a","t","u","patu"
"p","no","yes","bilabial","i","p","a","pipa"
"p","no","yes","bilabial","i","p","i","pipi"
"p","no","yes","bilabial","i","p","u","pipu"
"p","no","yes","bilabial","i","t","a","pita"
"p","no","yes","bilabial","i","t","i","piti"
"p","no","yes","bilabial","i","t","u","pitu"
"p","no","yes","bilabial","u","t","i","puti"
"p","no","yes","bilabial","u","p","i","pupi"
"p","no","yes","bilabial","u","p","u","pupu"
"p","no","yes","bilabial","u","t","a","puta"
"p","no","yes","bilabial","u","t","u","putu"
"s","no","no","alveolar","u","s","a","susa"
"s","no","no","alveolar","u","s","i","susi"
"s","no","no","alveolar","u","s","u","susu"
"s","no","no","alveolar","u","f","u","sufu"
"s","no","no","alveolar","a","f","a","safa"
"s","no","no","alveolar","a","f","i","safi"
"s","no","no","alveolar","a","f","u","safu"
"s","no","no","alveolar","a","s","a","sasa"
"s","no","no","alveolar","a","s","i","sasi"
"s","no","no","alveolar","a","s","u","sasu"
