"SEGMENT","VOICING","STOP","PLACE","SEGMENT2","SEGMENT3","SEGMENT4","STIMULUS","TYPE","GENERAL_TYPE","SOUND"
"t","no","yes","alveolar","i","p","u","tipu","OldTestStimuli","Test","recordings/tipu.wav"
"p","no","yes","bilabial","i","t","u","pitu","OldTestStimuli","Test","recordings/pitu.wav"
"p","no","yes","bilabial","i","t","a","pita","OldTestStimuli","Test","recordings/pita.wav"
"f","no","no","bilabial","i","f","i","fifi","OldTestStimuli","Test","recordings/fifi.wav"
"z","yes","no","alveolar","u","v","i","zuvi","OldTestStimuli","Test","recordings/zuvi.wav"
"p","no","yes","bilabial","a","p","u","papu","OldTestStimuli","Test","recordings/papu.wav"
"z","yes","no","alveolar","u","z","a","zuza","OldTestStimuli","Test","recordings/zuza.wav"
"d","yes","yes","alveolar","a","d","a","dada","OldTestStimuli","Test","recordings/dada.wav"
"t","no","yes","alveolar","a","p","a","tapa","OldTestStimuli","Test","recordings/tapa.wav"
"s","no","no","alveolar","a","f","u","safu","OldTestStimuli","Test","recordings/safu.wav"
"d","yes","yes","alveolar","i","d","u","didu","OldTestStimuli","Test","recordings/didu.wav"
"b","yes","yes","bilabial","i","d","i","bidi","OldTestStimuli","Test","recordings/bidi.wav"
"b","yes","yes","bilabial","a","d","a","bada","NewTestStimuli","Test","recordings/bada.wav"
"p","no","yes","bilabial","i","t","i","piti","NewTestStimuli","Test","recordings/piti.wav"
"b","yes","yes","bilabial","i","b","i","bibi","NewTestStimuli","Test","recordings/bibi.wav"
"t","no","yes","alveolar","a","t","a","tata","NewTestStimuli","Test","recordings/tata.wav"
"p","no","yes","bilabial","a","p","a","papa","NewTestStimuli","Test","recordings/papa.wav"
"d","yes","yes","alveolar","u","b","u","dubu","NewTestStimuli","Test","recordings/dubu.wav"
"s","no","no","alveolar","a","f","a","safa","NewTestStimuli","Test","recordings/safa.wav"
"t","no","yes","alveolar","i","p","i","tipi","NewTestStimuli","Test","recordings/tipi.wav"
"v","yes","no","bilabial","u","z","i","vuzi","NewTestStimuli","Test","recordings/vuzi.wav"
"z","yes","no","alveolar","i","z","u","zizu","NewTestStimuli","Test","recordings/zizu.wav"
"v","yes","no","bilabial","i","v","i","vivi","NewTestStimuli","Test","recordings/vivi.wav"
"d","yes","yes","alveolar","a","d","i","dadi","NewTestStimuli","Test","recordings/dadi.wav"
"b","yes","yes","bilabial","i","t","u","bitu","StopControls","Controls","recordings/bitu.wav"
"p","no","yes","bilabial","u","d","u","pudu","StopControls","Controls","recordings/pudu.wav"
